,actual_y,pred_y
279,1.328194107,1.7077737
280,1.733097134,1.8618188
281,2.056955882,1.4086845
282,1.504146386,1.5361078
283,1.002317202,0.6964075
284,2.070435293,1.8619184
285,1.493621133,1.6394384
286,2.634412848,1.755693
287,0.296594684,0.30566543
288,2.047968369,2.0398347
289,8.5108763,5.6071157
290,1.306060626,1.2568271
291,0.783300397,1.1286175
292,0.680443321,1.1376966
293,4.592421961,3.309699
294,2.712385582,1.9619242
295,1.292990856,1.0780563
296,3.439188327,2.9209085
297,0.54645575,0.4047309
298,1.130062951,1.3513649
299,5.459567791,4.2324896
300,0.168578407,0.4824009
301,0.874506871,1.5246825
302,1.681073181,2.524793
303,1.20221218,1.0497159
304,1.85219809,1.8298488
305,3.775002246,2.6133826
306,4.155092643,3.1078997
307,0.573300693,0.36448663
308,3.205119454,3.7504346
